observation,action,reward,next_observation
[0.00984667 0.41128278 0.10478882 0.0495818 ],1,1.0,[ 0.01807232  0.60475826  0.10578046 -0.20828794]
[ 0.01807232  0.60475826  0.10578046 -0.20828794],0,1.0,[0.03016749 0.40829527 0.1016147  0.11580083]
[0.03016749 0.40829527 0.1016147  0.11580083],1,1.0,[ 0.03833339  0.60182554  0.10393072 -0.1431738 ]
[ 0.03833339  0.60182554  0.10393072 -0.1431738 ],1,1.0,[ 0.0503699   0.79531735  0.10106725 -0.4013448 ]
[ 0.0503699   0.79531735  0.10106725 -0.4013448 ],0,1.0,[ 0.06627625  0.59891796  0.09304035 -0.07858581]
[ 0.06627625  0.59891796  0.09304035 -0.07858581],1,1.0,[ 0.07825461  0.7925915   0.09146863 -0.3405252 ]
[ 0.07825461  0.7925915   0.09146863 -0.3405252 ],0,1.0,[ 0.09410644  0.59629524  0.08465812 -0.02045739]
[ 0.09410644  0.59629524  0.08465812 -0.02045739],1,1.0,[ 0.10603235  0.7901075   0.08424897 -0.28527483]
[ 0.10603235  0.7901075   0.08424897 -0.28527483],1,1.0,[ 0.12183449  0.98393315  0.07854348 -0.55024225]
[ 0.12183449  0.98393315  0.07854348 -0.55024225],1,1.0,[ 0.14151315  1.1778691   0.06753863 -0.8171813 ]
[ 0.14151315  1.1778691   0.06753863 -0.8171813 ],1,1.0,[ 0.16507055  1.3720046   0.05119501 -1.0878794 ]
[ 0.16507055  1.3720046   0.05119501 -1.0878794 ],1,1.0,[ 0.19251063  1.5664155   0.02943742 -1.3640689 ]
[ 0.19251063  1.5664155   0.02943742 -1.3640689 ],0,1.0,[ 0.22383894  1.3709375   0.00215604 -1.0623255 ]
[ 0.22383894  1.3709375   0.00215604 -1.0623255 ],1,1.0,[ 0.2512577   1.5660309  -0.01909047 -1.3543309 ]
[ 0.2512577   1.5660309  -0.01909047 -1.3543309 ],1,1.0,[ 0.28257832  1.7613871  -0.04617709 -1.6529243 ]
[ 0.28257832  1.7613871  -0.04617709 -1.6529243 ],1,1.0,[ 0.31780607  1.9570168  -0.07923557 -1.9596273 ]
[ 0.31780607  1.9570168  -0.07923557 -1.9596273 ],1,1.0,[ 0.35694638  2.152884   -0.11842812 -2.275777  ]
[ 0.35694638  2.152884   -0.11842812 -2.275777  ],0,1.0,[ 0.40000406  1.9590456  -0.16394366 -2.021793  ]
[ 0.40000406  1.9590456  -0.16394366 -2.021793  ],1,1.0,[ 0.439185    2.1554432  -0.20437951 -2.3604228 ]
[ 0.439185    2.1554432  -0.20437951 -2.3604228 ],0,1.0,[ 0.48229384  1.9626493  -0.251588   -2.136921  ]
[-0.02609168  0.04755949 -0.00932719 -0.04768173],0,1.0,[-0.02514049 -0.14742748 -0.01028082  0.24204385]
[-0.02514049 -0.14742748 -0.01028082  0.24204385],0,1.0,[-0.02808904 -0.3424011  -0.00543995  0.5314663 ]
[-0.02808904 -0.3424011  -0.00543995  0.5314663 ],1,1.0,[-0.03493706 -0.14720304  0.00518938  0.23707421]
[-0.03493706 -0.14720304  0.00518938  0.23707421],1,1.0,[-0.03788112  0.0478444   0.00993086 -0.05396732]
[-0.03788112  0.0478444   0.00993086 -0.05396732],0,1.0,[-0.03692424 -0.14741853  0.00885152  0.24183226]
[-0.03692424 -0.14741853  0.00885152  0.24183226],1,1.0,[-0.03987261  0.04757587  0.01368816 -0.04804558]
[-0.03987261  0.04757587  0.01368816 -0.04804558],0,1.0,[-0.03892109 -0.14773966  0.01272725  0.24892446]
[-0.03892109 -0.14773966  0.01272725  0.24892446],1,1.0,[-0.04187588  0.04719824  0.01770574 -0.039717  ]
[-0.04187588  0.04719824  0.01770574 -0.039717  ],1,1.0,[-0.04093192  0.24206188  0.0169114  -0.32676142]
[-0.04093192  0.24206188  0.0169114  -0.32676142],1,1.0,[-0.03609068  0.43693903  0.01037617 -0.6140636 ]
[-0.03609068  0.43693903  0.01037617 -0.6140636 ],0,1.0,[-0.0273519   0.24167363 -0.0019051  -0.31813076]
[-0.0273519   0.24167363 -0.0019051  -0.31813076],0,1.0,[-0.02251843  0.04657887 -0.00826772 -0.02604925]
[-0.02251843  0.04657887 -0.00826772 -0.02604925],0,1.0,[-0.02158685 -0.14842355 -0.0087887   0.2640137 ]
[-0.02158685 -0.14842355 -0.0087887   0.2640137 ],1,1.0,[-0.02455532  0.04682274 -0.00350843 -0.03142826]
[-0.02455532  0.04682274 -0.00350843 -0.03142826],1,1.0,[-0.02361887  0.24199483 -0.00413699 -0.32521605]
[-0.02361887  0.24199483 -0.00413699 -0.32521605],1,1.0,[-0.01877897  0.43717542 -0.01064131 -0.61920077]
[-0.01877897  0.43717542 -0.01064131 -0.61920077],1,1.0,[-0.01003546  0.6324444  -0.02302533 -0.9152161 ]
[-0.01003546  0.6324444  -0.02302533 -0.9152161 ],1,1.0,[ 0.00261343  0.8278701  -0.04132965 -1.2150457 ]
[ 0.00261343  0.8278701  -0.04132965 -1.2150457 ],0,1.0,[ 0.01917083  0.63330495 -0.06563056 -0.93559474]
[ 0.01917083  0.63330495 -0.06563056 -0.93559474],0,1.0,[ 0.03183693  0.43912664 -0.08434246 -0.6642359 ]
[ 0.03183693  0.43912664 -0.08434246 -0.6642359 ],0,1.0,[ 0.04061946  0.24527295 -0.09762718 -0.3992563 ]
[ 0.04061946  0.24527295 -0.09762718 -0.3992563 ],0,1.0,[ 0.04552492  0.05166167 -0.1056123  -0.13887909]
[ 0.04552492  0.05166167 -0.1056123  -0.13887909],1,1.0,[ 0.04655815  0.24812528 -0.10838988 -0.46292487]
[ 0.04655815  0.24812528 -0.10838988 -0.46292487],0,1.0,[ 0.05152066  0.05468868 -0.11764839 -0.20627697]
[ 0.05152066  0.05468868 -0.11764839 -0.20627697],0,1.0,[ 0.05261443 -0.13857159 -0.12177392  0.04710066]
[ 0.05261443 -0.13857159 -0.12177392  0.04710066],0,1.0,[ 0.049843   -0.33175603 -0.12083191  0.29901832]
[ 0.049843   -0.33175603 -0.12083191  0.29901832],1,1.0,[ 0.04320788 -0.13513753 -0.11485154 -0.02919722]
[ 0.04320788 -0.13513753 -0.11485154 -0.02919722],0,1.0,[ 0.04050513 -0.32844114 -0.11543549  0.22515573]
[ 0.04050513 -0.32844114 -0.11543549  0.22515573],0,1.0,[ 0.03393631 -0.5217403  -0.11093237  0.47931206]
[ 0.03393631 -0.5217403  -0.11093237  0.47931206],0,1.0,[ 0.0235015  -0.71513575 -0.10134614  0.7350748 ]
[ 0.0235015  -0.71513575 -0.10134614  0.7350748 ],0,1.0,[ 0.00919878 -0.9087225  -0.08664463  0.99422026]
[ 0.00919878 -0.9087225  -0.08664463  0.99422026],0,1.0,[-0.00897567 -1.1025853  -0.06676023  1.2584819 ]
[-0.00897567 -1.1025853  -0.06676023  1.2584819 ],1,1.0,[-0.03102737 -0.9066756  -0.04159059  0.94565904]
[-0.03102737 -0.9066756  -0.04159059  0.94565904],0,1.0,[-0.04916088 -1.1012135  -0.02267741  1.2249894 ]
[-0.04916088 -1.1012135  -0.02267741  1.2249894 ],1,1.0,[-0.07118515 -0.9058069   0.00182238  0.9252884 ]
[-0.07118515 -0.9058069   0.00182238  0.9252884 ],1,1.0,[-0.08930129 -0.71070963  0.02032814  0.6331787 ]
[-0.08930129 -0.71070963  0.02032814  0.6331787 ],1,1.0,[-0.10351548 -0.51587707  0.03299171  0.3469663 ]
[-0.10351548 -0.51587707  0.03299171  0.3469663 ],0,1.0,[-0.11383303 -0.71145236  0.03993104  0.6498674 ]
[-0.11383303 -0.71145236  0.03993104  0.6498674 ],0,1.0,[-0.12806207 -0.9071071   0.05292839  0.9548522 ]
[-0.12806207 -0.9071071   0.05292839  0.9548522 ],0,1.0,[-0.14620422 -1.1028996   0.07202543  1.2636833 ]
[-0.14620422 -1.1028996   0.07202543  1.2636833 ],1,1.0,[-0.1682622 -0.9087685  0.0972991  0.9943988]
[-0.1682622 -0.9087685  0.0972991  0.9943988],1,1.0,[-0.18643758 -0.71507317  0.11718708  0.7337909 ]
[-0.18643758 -0.71507317  0.11718708  0.7337909 ],1,1.0,[-0.20073904 -0.5217485   0.1318629   0.48016688]
[-0.20073904 -0.5217485   0.1318629   0.48016688],0,1.0,[-0.21117401 -0.7184613   0.14146623  0.81132996]
[-0.21117401 -0.7184613   0.14146623  0.81132996],0,1.0,[-0.22554323 -0.91520834  0.15769283  1.1449549 ]
[-0.22554323 -0.91520834  0.15769283  1.1449549 ],0,1.0,[-0.2438474  -1.1119986   0.18059193  1.4826474 ]
[-0.2438474  -1.1119986   0.18059193  1.4826474 ],0,1.0,[-0.26608738 -1.3088048   0.21024488  1.8258618 ]
[ 0.02085034  0.02485746  0.0299845  -0.02960053],1,1.0,[ 0.02134749  0.21953687  0.02939249 -0.31267425]
[ 0.02134749  0.21953687  0.02939249 -0.31267425],1,1.0,[ 0.02573823  0.41422802  0.02313901 -0.5959447 ]
[ 0.02573823  0.41422802  0.02313901 -0.5959447 ],0,1.0,[ 0.03402279  0.21879002  0.01122011 -0.29606393]
[ 0.03402279  0.21879002  0.01122011 -0.29606393],0,1.0,[0.03839859 0.02350993 0.00529884 0.00013642]
[0.03839859 0.02350993 0.00529884 0.00013642],0,1.0,[ 0.03886879 -0.17168762  0.00530156  0.29448646]
[ 0.03886879 -0.17168762  0.00530156  0.29448646],0,1.0,[ 0.03543504 -0.36688474  0.01119129  0.5888367 ]
[ 0.03543504 -0.36688474  0.01119129  0.5888367 ],1,1.0,[ 0.02809734 -0.17192128  0.02296803  0.2997    ]
[ 0.02809734 -0.17192128  0.02296803  0.2997    ],0,1.0,[ 0.02465891 -0.36736295  0.02896203  0.5995372 ]
[ 0.02465891 -0.36736295  0.02896203  0.5995372 ],0,1.0,[ 0.01731165 -0.5628779   0.04095277  0.90120023]
[ 0.01731165 -0.5628779   0.04095277  0.90120023],0,1.0,[ 0.0060541  -0.7585301   0.05897678  1.2064692 ]
[ 0.0060541  -0.7585301   0.05897678  1.2064692 ],1,1.0,[-0.0091165  -0.5642177   0.08310616  0.9328365 ]
[-0.0091165  -0.5642177   0.08310616  0.9328365 ],1,1.0,[-0.02040086 -0.37030938  0.10176289  0.667383  ]
[-0.02040086 -0.37030938  0.10176289  0.667383  ],1,1.0,[-0.02780704 -0.17673884  0.11511055  0.40839598]
[-0.02780704 -0.17673884  0.11511055  0.40839598],0,1.0,[-0.03134182 -0.3732887   0.12327847  0.73503745]
[-0.03134182 -0.3732887   0.12327847  0.73503745],1,1.0,[-0.0388076  -0.18006583  0.13797922  0.4835549 ]
[-0.0388076  -0.18006583  0.13797922  0.4835549 ],1,1.0,[-0.04240891  0.01286663  0.14765032  0.23734397]
[-0.04240891  0.01286663  0.14765032  0.23734397],1,1.0,[-0.04215158  0.20560457  0.1523972  -0.00536566]
[-0.04215158  0.20560457  0.1523972  -0.00536566],1,1.0,[-0.03803949  0.39824975  0.15228988 -0.24635276]
[-0.03803949  0.39824975  0.15228988 -0.24635276],0,1.0,[-0.03007449  0.20131795  0.14736283  0.09022646]
[-0.03007449  0.20131795  0.14736283  0.09022646],1,1.0,[-0.02604813  0.39405409  0.14916736 -0.15257633]
[-0.02604813  0.39405409  0.14916736 -0.15257633],0,1.0,[-0.01816705  0.19714606  0.14611582  0.18319853]
[-0.01816705  0.19714606  0.14611582  0.18319853],0,1.0,[-1.4224131e-02  2.6842798e-04  1.4977980e-01  5.1817346e-01]
[-1.4224131e-02  2.6842798e-04  1.4977980e-01  5.1817346e-01],1,1.0,[-0.01421876  0.19299938  0.16014327  0.27618456]
[-0.01421876  0.19299938  0.16014327  0.27618456],1,1.0,[-0.01035878  0.3855174   0.16566697  0.03798375]
[-0.01035878  0.3855174   0.16566697  0.03798375],0,1.0,[-0.00264843  0.18845513  0.16642664  0.37801364]
[-0.00264843  0.18845513  0.16642664  0.37801364],1,1.0,[0.00112068 0.38087082 0.17398691 0.14208187]
[0.00112068 0.38087082 0.17398691 0.14208187],1,1.0,[ 0.00873809  0.5731294   0.17682855 -0.09105763]
[ 0.00873809  0.5731294   0.17682855 -0.09105763],0,1.0,[0.02020068 0.37597185 0.17500739 0.25178427]
[0.02020068 0.37597185 0.17500739 0.25178427],0,1.0,[0.02772012 0.17883904 0.18004309 0.5941567 ]
[0.02772012 0.17883904 0.18004309 0.5941567 ],0,1.0,[ 0.0312969  -0.01828535  0.19192621  0.93771094]
[ 0.0312969  -0.01828535  0.19192621  0.93771094],1,1.0,[0.03093119 0.17380342 0.21068043 0.7109488 ]
[ 0.00504011 -0.02752907  0.00769497 -0.02085115],0,1.0,[ 0.00448953 -0.22276051  0.00727794  0.27424967]
[ 0.00448953 -0.22276051  0.00727794  0.27424967],1,1.0,[ 3.4315581e-05 -2.7743164e-02  1.2762936e-02 -1.6128927e-02]
[ 3.4315581e-05 -2.7743164e-02  1.2762936e-02 -1.6128927e-02],1,1.0,[-0.00052055  0.16719344  0.01244036 -0.30475783]
[-0.00052055  0.16719344  0.01244036 -0.30475783],1,1.0,[ 0.00282332  0.36213592  0.0063452  -0.59349155]
[ 0.00282332  0.36213592  0.0063452  -0.59349155],0,1.0,[ 0.01006604  0.16692573 -0.00552463 -0.29881668]
[ 0.01006604  0.16692573 -0.00552463 -0.29881668],1,1.0,[ 0.01340455  0.362126   -0.01150096 -0.59323686]
[ 0.01340455  0.362126   -0.01150096 -0.59323686],1,1.0,[ 0.02064708  0.557407   -0.0233657  -0.8895202 ]
[ 0.02064708  0.557407   -0.0233657  -0.8895202 ],0,1.0,[ 0.03179521  0.3626098  -0.04115611 -0.604273  ]
[ 0.03179521  0.3626098  -0.04115611 -0.604273  ],0,1.0,[ 0.03904741  0.16808686 -0.05324157 -0.32483217]
[ 0.03904741  0.16808686 -0.05324157 -0.32483217],0,1.0,[ 0.04240915 -0.02623818 -0.05973821 -0.04940328]
[ 0.04240915 -0.02623818 -0.05973821 -0.04940328],0,1.0,[ 0.04188439 -0.22045492 -0.06072627  0.22384958]
[ 0.04188439 -0.22045492 -0.06072627  0.22384958],1,1.0,[ 0.03747529 -0.02451998 -0.05624928 -0.08735365]
[ 0.03747529 -0.02451998 -0.05624928 -0.08735365],1,1.0,[ 0.03698489  0.17136125 -0.05799635 -0.39723936]
[ 0.03698489  0.17136125 -0.05799635 -0.39723936],1,1.0,[ 0.04041211  0.36725602 -0.06594115 -0.70762885]
[ 0.04041211  0.36725602 -0.06594115 -0.70762885],0,1.0,[ 0.04775723  0.1731065  -0.08009372 -0.43641016]
[ 0.04775723  0.1731065  -0.08009372 -0.43641016],0,1.0,[ 0.05121936 -0.02079574 -0.08882193 -0.17001158]
[ 0.05121936 -0.02079574 -0.08882193 -0.17001158],0,1.0,[ 0.05080345 -0.2145415  -0.09222215  0.09338208]
[ 0.05080345 -0.2145415  -0.09222215  0.09338208],1,1.0,[ 0.04651262 -0.01822704 -0.09035452 -0.22691315]
[ 0.04651262 -0.01822704 -0.09035452 -0.22691315],0,1.0,[ 0.04614808 -0.21194933 -0.09489278  0.03595685]
[ 0.04614808 -0.21194933 -0.09489278  0.03595685],0,1.0,[ 0.04190909 -0.40559146 -0.09417364  0.29725662]
[ 0.04190909 -0.40559146 -0.09417364  0.29725662],1,1.0,[ 0.03379726 -0.20926203 -0.08822851 -0.02357874]
[ 0.03379726 -0.20926203 -0.08822851 -0.02357874],1,1.0,[ 0.02961202 -0.01299285 -0.08870008 -0.34274292]
[ 0.02961202 -0.01299285 -0.08870008 -0.34274292],1,1.0,[ 0.02935216  0.18327168 -0.09555494 -0.662026  ]
[ 0.02935216  0.18327168 -0.09555494 -0.662026  ],0,1.0,[ 0.0330176  -0.01039999 -0.10879546 -0.4008942 ]
[ 0.0330176  -0.01039999 -0.10879546 -0.4008942 ],0,1.0,[ 0.0328096  -0.2038241  -0.11681335 -0.14439622]
[ 0.0328096  -0.2038241  -0.11681335 -0.14439622],1,1.0,[ 0.02873312 -0.00723984 -0.11970127 -0.47152814]
[ 0.02873312 -0.00723984 -0.11970127 -0.47152814],0,1.0,[ 0.02858832 -0.2004857  -0.12913184 -0.21884172]
[ 0.02858832 -0.2004857  -0.12913184 -0.21884172],1,1.0,[ 0.0245786  -0.00377704 -0.13350867 -0.5493074 ]
[ 0.0245786  -0.00377704 -0.13350867 -0.5493074 ],1,1.0,[ 0.02450306  0.19294272 -0.14449482 -0.88089615]
[ 0.02450306  0.19294272 -0.14449482 -0.88089615],0,1.0,[ 2.8361918e-02  4.7944515e-05 -1.6211274e-01 -6.3690305e-01]
[ 2.8361918e-02  4.7944515e-05 -1.6211274e-01 -6.3690305e-01],0,1.0,[ 0.02836288 -0.19248646 -0.17485079 -0.39934075]
[ 0.02836288 -0.19248646 -0.17485079 -0.39934075],0,1.0,[ 0.02451315 -0.38475293 -0.1828376  -0.16648303]
[ 0.02451315 -0.38475293 -0.1828376  -0.16648303],0,1.0,[ 0.01681809 -0.576851   -0.18616727  0.06340592]
[ 0.01681809 -0.576851   -0.18616727  0.06340592],1,1.0,[ 0.00528107 -0.37961558 -0.18489915 -0.28175274]
[ 0.00528107 -0.37961558 -0.18489915 -0.28175274],1,1.0,[-0.00231124 -0.18240389 -0.1905342  -0.6265791 ]
[-0.00231124 -0.18240389 -0.1905342  -0.6265791 ],0,1.0,[-0.00595932 -0.37442756 -0.2030658  -0.39943486]
[-0.00595932 -0.37442756 -0.2030658  -0.39943486],0,1.0,[-0.01344787 -0.56617737 -0.21105449 -0.17701185]
[-0.02881328  0.01865668 -0.04351156 -0.01233449],0,1.0,[-0.02844015 -0.17581512 -0.04375825  0.26630875]
[-0.02844015 -0.17581512 -0.04375825  0.26630875],0,1.0,[-0.03195645 -0.3702861  -0.03843208  0.5448752 ]
[-0.03195645 -0.3702861  -0.03843208  0.5448752 ],1,1.0,[-0.03936217 -0.1746458  -0.02753457  0.24033517]
[-0.03936217 -0.1746458  -0.02753457  0.24033517],0,1.0,[-0.04285509 -0.3693638  -0.02272787  0.52420735]
[-0.04285509 -0.3693638  -0.02272787  0.52420735],1,1.0,[-0.05024236 -0.1739295  -0.01224372  0.22445016]
[-0.05024236 -0.1739295  -0.01224372  0.22445016],1,1.0,[-0.05372095  0.02136528 -0.00775472 -0.07206962]
[-0.05372095  0.02136528 -0.00775472 -0.07206962],0,1.0,[-0.05329365 -0.17364465 -0.00919611  0.2181566 ]
[-0.05329365 -0.17364465 -0.00919611  0.2181566 ],0,1.0,[-0.05676654 -0.36863393 -0.00483298  0.50792456]
[-0.05676654 -0.36863393 -0.00483298  0.50792456],1,1.0,[-0.06413922 -0.17344423  0.00532551  0.21372251]
[-0.06413922 -0.17344423  0.00532551  0.21372251],0,1.0,[-0.0676081  -0.3686419   0.00959996  0.5080806 ]
[-0.0676081  -0.3686419   0.00959996  0.5080806 ],1,1.0,[-0.07498094 -0.17365652  0.01976157  0.21843833]
[-0.07498094 -0.17365652  0.01976157  0.21843833],0,1.0,[-0.07845407 -0.3690553   0.02413034  0.5172888 ]
[-0.07845407 -0.3690553   0.02413034  0.5172888 ],1,1.0,[-0.08583518 -0.17428128  0.03447612  0.23230645]
[-0.08583518 -0.17428128  0.03447612  0.23230645],1,1.0,[-0.08932081  0.02033152  0.03912225 -0.04930531]
[-0.08932081  0.02033152  0.03912225 -0.04930531],0,1.0,[-0.08891418 -0.17532894  0.03813614  0.25545982]
[-0.08891418 -0.17532894  0.03813614  0.25545982],0,1.0,[-0.09242076 -0.37097406  0.04324533  0.5599234 ]
[-0.09242076 -0.37097406  0.04324533  0.5599234 ],1,1.0,[-0.09984023 -0.1764849   0.0544438   0.2811726 ]
[-0.09984023 -0.1764849   0.0544438   0.2811726 ],1,1.0,[-0.10336994  0.01781988  0.06006726  0.00614584]
[-0.10336994  0.01781988  0.06006726  0.00614584],0,1.0,[-0.10301354 -0.17810978  0.06019017  0.31715947]
[-0.10301354 -0.17810978  0.06019017  0.31715947],1,1.0,[-0.10657573  0.01610552  0.06653336  0.04404929]
[-0.10657573  0.01610552  0.06653336  0.04404929],0,1.0,[-0.10625362 -0.17990428  0.06741434  0.35695985]
[-0.10625362 -0.17990428  0.06741434  0.35695985],1,1.0,[-0.1098517   0.0141977   0.07455354  0.08627304]
[-0.1098517   0.0141977   0.07455354  0.08627304],0,1.0,[-0.10956775 -0.18190935  0.07627901  0.40151492]
[-0.10956775 -0.18190935  0.07627901  0.40151492],1,1.0,[-0.11320594  0.01205245  0.0843093   0.13382252]
[-0.11320594  0.01205245  0.0843093   0.13382252],0,1.0,[-0.11296489 -0.1841696   0.08698575  0.45186776]
[-0.11296489 -0.1841696   0.08698575  0.45186776],0,1.0,[-0.11664828 -0.3804071   0.09602311  0.77065265]
[-0.11664828 -0.3804071   0.09602311  0.77065265],1,1.0,[-0.12425642 -0.18672852  0.11143616  0.50966054]
[-0.12425642 -0.18672852  0.11143616  0.50966054],0,1.0,[-0.12799099 -0.38322943  0.12162937  0.83527815]
[-0.12799099 -0.38322943  0.12162937  0.83527815],0,1.0,[-0.13565558 -0.5797843   0.13833493  1.1636032 ]
[-0.13565558 -0.5797843   0.13833493  1.1636032 ],0,1.0,[-0.14725126 -0.7764092   0.161607    1.496264  ]
[-0.14725126 -0.7764092   0.161607    1.496264  ],0,1.0,[-0.16277945 -0.9730847   0.19153228  1.834739  ]
[-0.16277945 -0.9730847   0.19153228  1.834739  ],1,1.0,[-0.18224114 -0.7805283   0.22822706  1.6071529 ]
[ 0.03285639  0.02350714  0.02946408 -0.00675917],1,1.0,[ 0.03332653  0.21819443  0.0293289  -0.29000214]
[ 0.03332653  0.21819443  0.0293289  -0.29000214],0,1.0,[0.03769042 0.0226668  0.02352886 0.01178461]
[0.03769042 0.0226668  0.02352886 0.01178461],0,1.0,[ 0.03814375 -0.17278455  0.02376455  0.31179732]
[ 0.03814375 -0.17278455  0.02376455  0.31179732],0,1.0,[ 0.03468806 -0.36823687  0.0300005   0.6118791 ]
[ 0.03468806 -0.36823687  0.0300005   0.6118791 ],1,1.0,[ 0.02732333 -0.17354676  0.04223808  0.3287942 ]
[ 0.02732333 -0.17354676  0.04223808  0.3287942 ],1,1.0,[0.02385239 0.02094923 0.04881397 0.04972474]
[0.02385239 0.02094923 0.04881397 0.04972474],0,1.0,[ 0.02427138 -0.17483744  0.04980846  0.35740054]
[ 0.02427138 -0.17483744  0.04980846  0.35740054],1,1.0,[0.02077463 0.01954231 0.05695647 0.08083014]
[0.02077463 0.01954231 0.05695647 0.08083014],0,1.0,[ 0.02116547 -0.1763479   0.05857307  0.39092514]
[ 0.02116547 -0.1763479   0.05857307  0.39092514],1,1.0,[0.01763852 0.01789596 0.06639157 0.11726964]
[0.01763852 0.01789596 0.06639157 0.11726964],1,1.0,[ 0.01799643  0.21200694  0.06873697 -0.15375055]
[ 0.01799643  0.21200694  0.06873697 -0.15375055],1,1.0,[ 0.02223657  0.40608078  0.06566196 -0.42398116]
[ 0.02223657  0.40608078  0.06566196 -0.42398116],1,1.0,[ 0.03035819  0.6002141   0.05718233 -0.69526285]
[ 0.03035819  0.6002141   0.05718233 -0.69526285],1,1.0,[ 0.04236247  0.79449826  0.04327708 -0.96941036]
[ 0.04236247  0.79449826  0.04327708 -0.96941036],1,1.0,[ 0.05825244  0.9890134   0.02388887 -1.2481903 ]
[ 0.05825244  0.9890134   0.02388887 -1.2481903 ],0,1.0,[ 0.0780327   0.7935934  -0.00107494 -0.94812137]
[ 0.0780327   0.7935934  -0.00107494 -0.94812137],0,1.0,[ 0.09390457  0.59848595 -0.02003736 -0.6557764 ]
[ 0.09390457  0.59848595 -0.02003736 -0.6557764 ],1,1.0,[ 0.10587429  0.79388106 -0.03315289 -0.95470077]
[ 0.10587429  0.79388106 -0.03315289 -0.95470077],1,1.0,[ 0.12175191  0.98943293 -0.05224691 -1.2576126 ]
[ 0.12175191  0.98943293 -0.05224691 -1.2576126 ],0,1.0,[ 0.14154057  0.7950171  -0.07739916 -0.98174036]
[ 0.14154057  0.7950171  -0.07739916 -0.98174036],0,1.0,[ 0.15744092  0.60101295 -0.09703396 -0.71433794]
[ 0.15744092  0.60101295 -0.09703396 -0.71433794],1,1.0,[ 0.16946118  0.79733473 -0.11132072 -1.0359186 ]
[ 0.16946118  0.79733473 -0.11132072 -1.0359186 ],0,1.0,[ 0.18540786  0.60385454 -0.1320391  -0.7801554 ]
[ 0.18540786  0.60385454 -0.1320391  -0.7801554 ],0,1.0,[ 0.19748496  0.41077098 -0.1476422  -0.53175795]
[ 0.19748496  0.41077098 -0.1476422  -0.53175795],0,1.0,[ 0.20570038  0.21800044 -0.15827736 -0.28899723]
[ 0.20570038  0.21800044 -0.15827736 -0.28899723],0,1.0,[ 0.21006039  0.02544788 -0.1640573  -0.05011817]
[ 0.21006039  0.02544788 -0.1640573  -0.05011817],0,1.0,[ 0.21056935 -0.16698804 -0.16505967  0.18664312]
[ 0.21056935 -0.16698804 -0.16505967  0.18664312],1,1.0,[ 0.20722958  0.03006348 -0.16132681 -0.15322435]
[ 0.20722958  0.03006348 -0.16132681 -0.15322435],1,1.0,[ 0.20783085  0.22708353 -0.1643913  -0.49214157]
[ 0.20783085  0.22708353 -0.1643913  -0.49214157],1,1.0,[ 0.21237253  0.4240961  -0.17423412 -0.8317899 ]
[ 0.21237253  0.4240961  -0.17423412 -0.8317899 ],1,1.0,[ 0.22085445  0.62111634 -0.19086993 -1.1738119 ]
[ 0.22085445  0.62111634 -0.19086993 -1.1738119 ],0,1.0,[ 0.23327677  0.42891684 -0.21434616 -0.94652396]
[-0.03400737 -0.02044768  0.00196645 -0.02393632],0,1.0,[-0.03441633 -0.21559778  0.00148772  0.26936638]
[-0.03441633 -0.21559778  0.00148772  0.26936638],0,1.0,[-0.03872828 -0.4107409   0.00687505  0.5625182 ]
[-0.03872828 -0.4107409   0.00687505  0.5625182 ],0,1.0,[-0.0469431  -0.6059587   0.01812541  0.8573591 ]
[-0.0469431  -0.6059587   0.01812541  0.8573591 ],1,1.0,[-0.05906227 -0.4110883   0.03527259  0.57043016]
[-0.05906227 -0.4110883   0.03527259  0.57043016],0,1.0,[-0.06728404 -0.6066867   0.0466812   0.87401325]
[-0.06728404 -0.6066867   0.0466812   0.87401325],0,1.0,[-0.07941777 -0.8024112   0.06416146  1.1809995 ]
[-0.07941777 -0.8024112   0.06416146  1.1809995 ],1,1.0,[-0.095466   -0.6081781   0.08778145  0.9090998 ]
[-0.095466   -0.6081781   0.08778145  0.9090998 ],1,1.0,[-0.10762956 -0.41434687  0.10596345  0.6452471 ]
[-0.10762956 -0.41434687  0.10596345  0.6452471 ],1,1.0,[-0.1159165  -0.22084868  0.11886839  0.38772276]
[-0.1159165  -0.22084868  0.11886839  0.38772276],0,1.0,[-0.12033347 -0.41743967  0.12662284  0.7153934 ]
[-0.12033347 -0.41743967  0.12662284  0.7153934 ],1,1.0,[-0.12868226 -0.22427668  0.14093071  0.46509635]
[-0.12868226 -0.22427668  0.14093071  0.46509635],1,1.0,[-0.13316779 -0.03139804  0.15023264  0.21994337]
[-0.13316779 -0.03139804  0.15023264  0.21994337],1,1.0,[-0.13379575  0.16129287  0.15463151 -0.02183491]
[-0.13379575  0.16129287  0.15463151 -0.02183491],0,1.0,[-0.1305699  -0.03566961  0.15419482  0.3153644 ]
[-0.1305699  -0.03566961  0.15419482  0.3153644 ],1,1.0,[-0.1312833   0.15695828  0.1605021   0.07500454]
[-0.1312833   0.15695828  0.1605021   0.07500454],0,1.0,[-0.12814413 -0.04005712  0.16200219  0.41371462]
[-0.12814413 -0.04005712  0.16200219  0.41371462],0,1.0,[-0.12894526 -0.23706003  0.17027648  0.7527703 ]
[-0.12894526 -0.23706003  0.17027648  0.7527703 ],0,1.0,[-0.13368647 -0.43406945  0.1853319   1.0938305 ]
